City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
251,metro,85,ID,1569398261,48,-5.11,105.31,91.31,11.65
252,chuy,0,UY,1569398261,78,-33.69,-53.46,50.63,5.57
253,dezful,0,IR,1569398261,3,32.38,48.4,108.05,17.85
254,port-cartier,90,CA,1569398261,75,50.03,-66.88,48.0,5.82
255,katangli,100,RU,1569398261,86,51.71,143.23,43.43,31.03
256,sangar,27,RU,1569398261,75,63.92,127.47,38.93,2.1
257,ancud,90,CL,1569398262,100,-41.87,-73.83,50.0,6.93
258,mutis,100,CO,1569398262,81,6.23,-77.4,78.71,6.24
259,sept-iles,90,CA,1569398262,75,50.2,-66.38,48.0,5.82
260,apartado,100,CO,1569398262,96,7.88,-76.63,72.05,4.27
261,dingle,95,PH,1569398262,78,11.0,122.67,82.31,7.74
262,raudeberg,20,NO,1569398262,93,61.99,5.14,51.01,6.93
263,humaita,0,AR,1569398262,51,-24.93,-65.37,71.6,3.36
264,phuket,20,TH,1569398262,55,7.89,98.4,91.4,9.17
265,kudahuvadhoo,100,MV,1569398263,74,2.67,72.89,81.05,3.24
266,manaure,100,CO,1569398263,76,11.78,-72.45,82.31,4.21
267,hasaki,20,JP,1569398263,57,35.73,140.83,78.8,8.05
268,klaksvik,90,FO,1569398263,100,62.23,-6.59,51.8,17.22
269,nioro,0,GM,1569398263,81,13.79,-15.05,80.69,8.43
270,vardo,75,US,1569398263,93,39.62,-77.74,57.2,1.9
271,nikki,87,BJ,1569398263,89,9.94,3.21,75.83,7.14
272,kakamigahara,20,JP,1569398263,65,35.4,136.85,87.01,5.82
273,kuruman,0,ZA,1569398264,18,-27.46,23.43,77.63,20.13
274,amahai,4,ID,1569398264,83,-3.31,129.0,77.99,12.19
275,necochea,4,AR,1569398264,92,-38.55,-58.74,50.0,6.78
276,geraldton,90,CA,1569398264,100,49.72,-86.95,55.4,5.82
277,kuhdasht,0,IR,1569398264,13,33.53,47.61,78.8,4.7
278,constitucion,99,MX,1569398264,79,23.99,-104.67,61.0,7.0
279,anadyr,0,RU,1569398264,80,64.73,177.51,35.6,3.85
280,chara,20,GR,1569398265,60,39.42,22.43,73.4,8.05
281,chulman,94,RU,1569398265,94,56.84,124.9,39.11,2.82
282,santiago,22,PH,1569398165,88,16.69,121.54,79.61,2.35
283,mayor pablo lagerenza,96,PY,1569398265,35,-19.93,-60.77,82.85,9.93
284,kibondo,76,TZ,1569398265,28,-3.59,30.72,86.27,9.26
285,ballina,75,IE,1569398265,100,54.11,-9.15,57.2,8.05
286,ranong,40,TH,1569398265,74,9.96,98.62,87.8,8.05
287,taoudenni,0,ML,1569398265,10,22.68,-3.98,98.33,3.91
288,havre-saint-pierre,90,CA,1569398265,70,50.23,-63.6,48.2,12.75
289,yining,100,CN,1569398266,51,29.04,114.56,77.63,3.96
290,talara,55,PE,1569398266,91,-4.58,-81.27,63.05,17.54
291,bambanglipuro,0,ID,1569398266,83,-7.95,110.28,77.09,15.14
292,bom jardim,40,BR,1569398266,94,-7.8,-35.59,68.0,8.05
293,panzhihua,100,CN,1569398266,87,26.59,101.72,59.27,2.57
294,te anau,38,NZ,1569398266,74,-45.41,167.72,35.33,7.96
295,namatanai,100,PG,1569398267,83,-3.66,152.44,79.07,9.22
296,sipe sipe,84,BO,1569398267,45,-17.45,-66.36,64.4,8.05
297,takoradi,100,GH,1569398267,86,4.89,-1.75,78.17,5.35
298,flagstaff,1,US,1569398122,48,35.2,-111.65,62.6,10.29
299,porto novo,75,BR,1569398267,82,-23.68,-45.44,62.6,2.24
300,sao raimundo das mangabeiras,95,BR,1569398267,52,-7.02,-45.48,75.11,4.7
301,vila praia de ancora,90,PT,1569398267,100,41.81,-8.85,62.01,3.36
302,luganville,75,VU,1569398267,65,-15.51,167.18,78.8,10.29
303,ostrovnoy,100,RU,1569398268,94,68.05,39.51,37.85,23.22
304,kloulklubed,75,PW,1569398268,74,7.04,134.26,86.0,8.05
305,gold coast,75,AU,1569398230,64,-28.0,153.41,70.0,11.41
306,druzhba,63,UA,1569398268,64,49.36,25.65,64.0,3.0
307,axim,80,GH,1569398268,86,4.87,-2.24,77.99,9.98
308,jais,74,IN,1569398268,74,26.27,81.55,85.55,14.7
309,tuatapere,82,NZ,1569398268,89,-46.13,167.69,39.0,18.99
310,skrunda,0,LV,1569398268,61,56.68,22.02,50.0,6.93
311,vao,100,EE,1569398269,93,59.1,26.19,45.23,7.94
312,dawlatabad,0,AF,1569398269,16,36.41,64.91,89.33,8.39
313,angoram,55,PG,1569398269,87,-4.06,144.07,77.63,3.69
314,santa cruz,21,BR,1569398269,84,-6.22,-36.02,67.73,10.89
315,lagoa,0,PT,1569398269,82,37.14,-8.45,64.99,9.17
316,praya,40,ID,1569398269,52,-8.71,116.27,87.8,19.46
317,la ciotat,0,FR,1569398269,77,43.17,5.6,79.0,8.05
318,noumea,75,NC,1569398270,72,-22.28,166.46,73.99,13.87
