City_ID,   Lat    ,   Lng    ,  Date    , Humidity , Max Temp ,City,Cloudiness,Country   ,Wind Speed
326,37.38,55.49,03-24-2018,53,85.63,kalaleh,0,IR,6.4
327,-45.41,167.72,03-24-2018,99,46.75,te anau,92,NZ,2.48
328,25.86,114.93,03-24-2018,58,67.45,ganzhou,92,CN,2.37
329,63.83,10.7,03-24-2018,83,38.65,hovd,56,NO,3.38
330,38.52,-28.7,03-24-2018,100,62.18,ribeira grande,68,PT,10.09
331,58.6,13.44,03-24-2018,88,35.18,skagen,48,SE,15.12
332,-30.97,22.13,03-24-2018,32,74.69,carnarvon,0,ZA,8.19
333,25.3,75.93,03-24-2018,39,89.41,keshorai patan,0,IN,7.63
334,63.59,-135.9,03-24-2018,57,-7.89,mayo,0,CA,3.94
335,16.48,81.84,03-24-2018,95,84.23,razole,0,IN,12.66
336,63.51,53.41,03-24-2018,71,20.47,vodnyy,12,RU,4.94
337,62.49,17.33,03-24-2018,78,37.21,timra,8,SE,10.09
338,-39.94,176.59,03-24-2018,92,59.62,waipawa,100,NZ,4.16
339,-1.24,116.86,03-24-2018,100,82.93,balikpapan,20,ID,3.38
340,21.32,-158.01,03-24-2018,83,71.5,ewa beach,92,US,7.96
341,1.61,16.05,03-24-2018,83,80.09,ouesso,20,CG,3.15
342,8.16,125.3,03-24-2018,85,74.51,silae,68,PH,2.93
343,60.47,26.95,03-24-2018,87,29.06,kotka,44,FI,10.42
344,-15.19,12.15,03-24-2018,100,77.98,namibe,44,AO,8.97
345,52.16,-7.15,03-24-2018,100,42.11,tramore,0,IE,13.11
346,64.25,-15.21,03-24-2018,100,36.44,hofn,0,IS,8.3
347,-23.78,-45.36,03-24-2018,100,78.38,ilhabela,0,BR,7.74
348,31.44,119.33,03-24-2018,69,68.03,nandu,92,CN,4.61
349,42.57,-114.46,03-24-2018,92,38.11,twin falls,88,US,6.62
350,-28.24,-48.67,03-24-2018,97,75.01,imbituba,24,BR,16.69
351,-37.88,147.99,03-24-2018,100,64.79,lakes entrance,64,AU,2.82
352,-20.21,57.76,03-24-2018,75,83.33,quatre cocos,80,MU,8.75
353,37.52,-77.56,03-24-2018,58,30.1,bon air,0,US,5.39
354,35.31,47.0,03-24-2018,26,70.91,sanandaj,0,IR,7.85
355,63.29,118.35,03-24-2018,77,24.56,nyurba,92,RU,5.95
356,37.13,-80.41,03-24-2018,80,16.96,christiansburg,0,US,2.26
357,52.1,-9.78,03-24-2018,96,42.7,killorglin,20,IE,4.61
358,5.35,48.53,03-24-2018,78,85.09,hobyo,20,SO,9.19
359,54.23,-125.76,03-24-2018,70,23.66,burns lake,56,CA,4.61
